OBJECTID,TENCODE,ADDRESS,OWNER1,OWNER2,BLDG_CODE,BLDG_DESC,BRT_ID,GROSS_AREA,YEAR,SEASON,VL_NUM,NUMPARCELS,SQ_FT,TREES_NUM,TARGETAREA,GROUP_,GRID,CCD,CCD_PERSON,ADDR_RANGE,ZIPCODE,Shape__Area,Shape__Length
2556,8791002411,2411 N 06TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,191376301,1562,2008,Fall,VL1566EN,5,5641,4,Eastern North,,264,7,Maria Quinones-Sanchez,2407-2411 N 6TH STREET,19133,1607.61981201172,220.648922158781
2557,2104001207,1207 W CAMBRIA ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,372389501,1276,2016,Spring,VL0945EN_CPL_R,2,2427,0,EASTERN NORTH - CHOICE,,251,5,Darrell L. Clarke,1207-09 W CAMBRIA ST,19133,1286.93731689453,191.845155558359
2558,2636000707,707 W CUMBERLAND ST,JOHN J WILSON, ,SR,VAC LAND RES < ACRE,371382900,1178,2011,Spring,VL1941EN,2,2250,0,Eastern North,,264,5,Darrell L. Clarke,705-707 W CUMBERLAND STREET,19133,1181.92327880859,178.359260483974
2559,3666002414,2414-18 GERMANTOWN AVE,PEREZ HUMBERTO, ,TB0,VAC LAND COMM. < ACRE,371012510,915,2011,Spring,VL1951EN,2,2261,4,Eastern North,,264,5,Darrell L. Clarke,2412-2418 GERMANTOWN AVENUE,19133,915.59423828125,147.655961015545
2560,7328001337,1337 W SOMERSET ST,RICHEL ASSOCIATES, ,O50,VAC LAND COMM. < ACRE,372349700,1116,2012,Fall,VL2139EN,6,8730,3,Eastern North,,251,5,Darrell L. Clarke,1333-1343 W SOMERSET STREET,19132,1120.62213134766,176.075721897517
2561,4488001025,1025 W INDIANA AVE,BURRELL JOY, ,SR,VAC LAND COMM. < ACRE,372426800,918,2012,Fall,VL2127EN,5,3904,3,Eastern North,,251,5,Darrell L. Clarke,1025-1033 W INDIANA AVENUE,19133,918.056396484375,151.507144761025
2562,8801002848,2848 N 11TH ST,WALLACE S POWELSON, ,SR,VAC LAND RES < ACRE,372234200,1584,2011,Spring,VL1931EN,9,14241,6,Eastern North,,251,5,Darrell L. Clarke,2844-2860 N 11TH STREET,19133,1584.8125,224.304302403866
2563,8836002123,2123 N 29TH ST,EMERLINE OLIVER,ELEASE MOORE,SR,VAC LAND RES < ACRE,323235900,986,2004,Spring,VL0319NC,4,4104,2,North Central,,262,5,Darrell L. Clarke,2117-2123 N 29TH STREET,19121,1007.79309082031,166.090858795628
2564,2804002426,2426 N DELHI ST,BRISTOL CHARLES L JR, ,SR,VAC LAND RES < ACRE,371143301,616,2003,Spring,VL0106NC,6,5819,0,Eastern North,,264,5,Darrell L. Clarke,"2419-21 N 10TH STREET; 2420-30 DELHI STREET",19133,644.775268554688,118.322511035949
2565,5010002224,2224 N LEITHGOW ST,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,191240101,480,2016,Fall,VL0123EN_R,39,29240,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2204-2232, 2240-2260 N LEITHGOW ST; 2209-2217, 2233-2237 N LAWRENCE ST; 412-422 W DAUPHIN ST",19133,460.562133789063,101.180335802487
2566,3744001122,1122 W GLENWOOD AVE,SMITH RONALD B, ,SR,VAC LAND RES < ACRE,372460600,850,2016,Fall,VL3551NC_CLP,2,2137,0,NORTH CENTRAL,,251,5,Darrell L. Clarke,1122-1124 GLENWOOD AVE,19133,849.429809570313,149.125793917151
2567,1318001011,1011 W ARIZONA ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,371352000,720,2016,Spring,VL3673NC_CLP,1,6900,0,NIH_EN,,264,5,Darrell L. Clarke,1001-1019 W ARIZONA ST,19133,712.351928710938,139.134106019377
2568,8793002425,2425 N 07TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371060601,1280,2009,Spring,VL1662EN,12,19235,0,Eastern North,,264,5,Darrell L. Clarke,"2409-2427 N 7TH STREET; 629-631 W YORK STREET",19133,1233.94104003906,190.822812667592
2569,7328001343,1343 W SOMERSET ST,NEIGHBORHOOD ACTION BUREA, ,SR,VAC LAND RES < ACRE,372350001,1189,2012,Fall,VL2139EN,6,8730,3,Eastern North,,251,5,Darrell L. Clarke,1333-1343 W SOMERSET STREET,19132,1189.03991699219,182.411454827754
2570,8801003006,3006 N 11TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,372235501,900,2012,Fall,VL2147EN,10,6912,5,Eastern North,,251,5,Darrell L. Clarke,3000-18 N 11TH STREET,19133,883.42822265625,150.16317751201
2571,8842002166,2166 N 32ND ST,LEE LYNELL, ,SR,VAC LAND RES < ACRE,323329201,1032,2003,Spring,VL0077D,1,925,0,North Central,,262,5,Darrell L. Clarke,2166 N 32ND STREET,19121,1035.45135498047,163.462992049611
2572,2104001209,1209 W CAMBRIA ST,PHILADELPHIA LAND BANK, ,SR,VAC LAND RES < ACRE,372389601,1280,2016,Spring,VL0945EN_CPL_R,2,2427,0,EASTERN NORTH - CHOICE,,251,5,Darrell L. Clarke,1207-09 W CAMBRIA ST,19133,1245.37884521484,190.398434631229
2573,8144002625,2625 N WARNOCK ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371178301,793,2003,Spring,VL0101NC,4,2656,0,Eastern North,,264,5,Darrell L. Clarke,2625-2629 N WARNOCK STREET,19133,793.046936035156,147.032703063602
2574,8576000718,718 W YORK ST,MARION HUTSON, ,SR,VAC LAND RES < ACRE,371356400,1344,2011,Spring,VL1950EN,4,6255,2,Eastern North,,264,5,Darrell L. Clarke,716-722 W YORK STREET,19133,1346.91717529297,202.531585910126
2575,8836002117,2117 N 29TH ST,EDWARD D CAFFEE TR,DAUPHIN ST BAPT CHURCH,SR,VAC LAND RES < ACRE,323235600,986,2004,Spring,VL0319NC,4,4104,2,North Central,,262,5,Darrell L. Clarke,2117-2123 N 29TH STREET,19121,1007.40606689453,165.719148560899
2576,8793002421,2421 N 07TH ST,JOHNSON FRANCES D, ,SR,VAC LAND RES < ACRE,371060400,1280,2009,Spring,VL1662EN,12,19235,0,Eastern North,,264,5,Darrell L. Clarke,"2409-2427 N 7TH STREET; 629-631 W YORK STREET",19133,1255.47796630859,191.652510323697
2577,8801002533,2533 N 11TH ST,SMITH LILLIAN, ,SR,VAC LAND RES < ACRE,371188600,1056,2003,Spring,VL0107NC,6,7215,0,Eastern North,,264,5,Darrell L. Clarke,2523-2533 N 11TH STREET,19133,1103.55383300781,164.596093130395
2578,8803002229,2229-33 N 12TH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,371220701,6625,2016,Spring,VL3239EN_CLP,6,6790,0,EASTERN NORTH - CHOICE,,278,5,Darrell L. Clarke,"1146-48 W NEVADA ST; 2229-33 N 12TH ST; 1147 W COLONA ST",19133,6625.90899658203,455.455532307197
2579,8830002400,2400 N 26TH ST,TILLMAN GILL,VIRGINIA R,SR,VAC LAND RES < ACRE,281051800,1080,2004,Fall,VL0608NC,1,1200,0,North Central,,262,5,Darrell L. Clarke,2400 N 26TH STREET,19132,1088.84216308594,155.698371626384
2580,7462001009,1009 W STELLA ST,BANNER  GEORGE, ,SR,VAC LAND COMM. < ACRE,372410900,622,2007,Fall,VL1281EN,3,10297,0,Eastern North,,251,5,Darrell L. Clarke,"2944-2948 GERMANTOWN AVENUE; 
1001-1011 W STELLA STREET",19133,604.321655273438,116.647572745942
2581,8789002209,2209 N 05TH ST,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,191297001,769,2011,Spring,VL1965EN,2,1150,0,Eastern North,,279,7,Maria Quinones-Sanchez,2209-2211 N 5TH STREET,19133,777.973754882813,133.272039883289
2582,3324002364,2364 N FAIRHILL ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,191364901,503,2011,Spring,VL1948EN,6,3410,3,Eastern North,,264,7,Maria Quinones-Sanchez,"538 W YORK STREET; 2356-2364 N FAIRHILL STREET",19133,503.8818359375,104.859625684281
2583,6174001024,1024 W ORLEANS ST,TRAN JERRY, ,O30,VAC LAND RES < ACRE,372400600,630,2011,Spring,VL1935EN,6,3984,3,Eastern North,,251,5,Darrell L. Clarke,1016-1026 W ORLEANS STREET,19133,625.658264160156,117.808502125093
2584,5010002230,2230 N LEITHGOW ST,CITY OF PHILA, ,RA,VAC LAND RES < ACRE,191240401,480,2016,Fall,VL0123EN_R,39,29240,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2204-2232, 2240-2260 N LEITHGOW ST; 2209-2217, 2233-2237 N LAWRENCE ST; 412-422 W DAUPHIN ST",19133,459.964477539063,101.09149155487
2585,7568001225,1225 W SUSQUEHANNA AVE,BAIG SOHAIL R, ,SR,VAC LAND RES < ACRE,371307500,1140,2006,Fall,VL1005NC,1,2511,0,Eastern North,,278,5,Darrell L. Clarke,1225 W SUSQUEHANNA AVENUE,19133,1124.30889892578,182.056241848907
2586,5010002308,2308 N LEITHGOW ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,191243101,577,2016,Fall,VL0489EN_R,12,7178,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2301-2307 N LAWRENCE  ST; 2306-2312 N LEITHGOW ST; 417-423 W DAUPHIN ST",19133,597.690612792969,116.868198044308
2587,8803002924,2924 N 12TH ST,FREEMAN JAMES S, ,SR,VAC LAND RES < ACRE,372259900,1330,2012,Fall,VL2154EN,1,1218,0,Eastern North,,251,5,Darrell L. Clarke,2924 N 12TH STREET,19133,1321.36419677734,201.223144217193
2588,8803002732,2732 N 12TH ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,372256200,1280,2012,Fall,VL2152EN,2,2520,1,Eastern North,,251,5,Darrell L. Clarke,2732-2734 N 12TH STREET,19133,1311.10180664063,199.494349218934
2589,5010002332,2332 N LEITHGOW ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,191244301,637,2016,Fall,VL3446EN_CLP,8,5060,3,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2327-2333 N LARENCE ST; 2332-2338 N LEITHGOW ST",19133,637.346496582031,118.115817959229
2590,8803002727,2727 N 12TH ST,CITY OF PHILADELPHIA, ,O50,VAC LAND RES < ACRE,372249200,1600,2012,Fall,VL2151EN,6,8220,4,Eastern North,,251,5,Darrell L. Clarke,"2727-2731 N 12TH STREET; 1137-1141 W SILVER STREET",19133,1636.88549804688,234.130567480863
2591,8803002740,2740 N 12TH ST,LORRETA DAVIS WID,MARSHALL KENNEDY ALLEN,SR,VAC LAND RES < ACRE,372256600,1495,2012,Fall,VL2153EN,1,1156,0,Eastern North,,251,5,Darrell L. Clarke,2740 N 12TH STREET,19133,1495.50054931641,204.191526613343
2592,7286001137,1137 W SILVER ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,372309301,808,2012,Fall,VL2151EN,6,8220,4,Eastern North,,251,5,Darrell L. Clarke,"2727-2731 N 12TH STREET; 1137-1141 W SILVER STREET",19133,801.994812011719,136.863251524179
2593,8576000720,720 W YORK ST,LOUIS V RIVERA,MATILDA,SR,VAC LAND RES < ACRE,371356500,1344,2011,Spring,VL1950EN,4,6255,2,Eastern North,,264,5,Darrell L. Clarke,716-722 W YORK STREET,19133,1310.12957763672,201.701095085021
2594,3666003057,3057 GERMANTOWN AVE,JOS M CARIOLA,ESTHER J,SC,VAC LAND COMM. < ACRE,372196900,1216,2006,Spring,VL0929MA_R,4,5851,0,Eastern North,,251,5,Darrell L. Clarke,3051-3059 GERMANTOWN AVENUE,19133,1216.99786376953,187.718301854792
2595,8803002851,2851-53 N 12TH ST,PANKEY REGINALD, ,SR,VAC LAND COMM. < ACRE,372252400,8823,2011,Spring,VL0054EN_R,5,16659,4,Eastern North,,251,5,Darrell L. Clarke,"2842; 2845-53 N 12TH STREET; 2844-2850 N MARVINE STREET",19133,9130.70361328125,457.289760719508
2596,4966002237,2237 N LAWRENCE ST,CITY OF PHILA,DEPT PUB PROP,RA,VAC LAND RES < ACRE,191253501,670,2016,Fall,VL0123EN_R,39,29240,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2204-2232, 2240-2260 N LEITHGOW ST; 2209-2217, 2233-2237 N LAWRENCE ST; 412-422 W DAUPHIN ST",19133,664.580444335938,124.284755538763
2597,3666002906,2906 GERMANTOWN AVE,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND COMM. < ACRE,372204001,1449,2011,Spring,VL1834EN,4,5721,2,Eastern North,,251,5,Darrell L. Clarke,"2906-2910 GERMANTOWN AVENUE; 1010 W MONMOUTH STREET",19133,1448.6064453125,197.800523018678
2598,7328001335,1335 W SOMERSET ST,5 BROTHERS LLC, ,O50,VAC LAND COMM. < ACRE,372349600,1116,2012,Fall,VL2139EN,6,8730,3,Eastern North,,251,5,Darrell L. Clarke,1333-1343 W SOMERSET STREET,19132,1125.14465332031,176.235950798937
2599,7328001333,1333 W SOMERSET ST,5 BROTHERS LLC, ,O50,VAC LAND RES < ACRE,372349500,1116,2012,Fall,VL2139EN,6,8730,3,Eastern North,,251,5,Darrell L. Clarke,1333-1343 W SOMERSET STREET,19132,1136.5439453125,176.457188387604
2600,6174001026,1026 W ORLEANS ST,PHILADELPHIA LAND BANK, ,SR,VAC LAND RES < ACRE,372400701,630,2011,Spring,VL1935EN,6,3984,3,Eastern North,,251,5,Darrell L. Clarke,1016-1026 W ORLEANS STREET,19133,620.294860839844,117.663542638387
2601,8795003134,3134 N 8TH ST,OWENS BRUCE S,OWENS CARLETTA MILLS,O30,VAC LAND RES < ACRE,372106400,822,2016,Spring,VL3671NC_CLP,1,1622,0,NIH_EN,,251,5,Darrell L. Clarke,3134-3136 N 8TH ST,19133,812.857971191406,140.797899950869
2602,2752002903,2903 W DAUPHIN ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,282298001,955,2004,Spring,VL0320NC,5,8900,7,North Central,,262,5,Darrell L. Clarke,"2300-2304 N 29TH STREET; 2901-2903 W DAUPHIN STREET",19132,955.596801757813,147.822105233415
2603,8801002846,2846 N 11TH ST,CARTER THERESA, ,SR,VAC LAND RES < ACRE,372234100,1589,2011,Spring,VL1931EN,9,14241,6,Eastern North,,251,5,Darrell L. Clarke,2844-2860 N 11TH STREET,19133,1589.32873535156,224.668638101261
2604,8576000638,638 W YORK ST,GABRIEL BERMUDEZ,IDA,SR,VAC LAND RES < ACRE,371355400,1134,2010,Spring,VL1739EN,3,3213,4,Eastern North,,264,5,Darrell L. Clarke,634-638 W YORK STREET,19133,1183.54534912109,164.483069348272
2605,5000001200,1200-02 W LEHIGH AVE,ALEXANDER REALTORS INC, ,U50,ROW CONV/APT 3STY MASONRY,371451700,2960,2012,Fall,VL2173EN,1,1390,0,Eastern North,,264,5,Darrell L. Clarke,1200 W LEHIGH AVENUE,19133,2960.38354492188,232.756858548573
2606,2752003017,3017 W DAUPHIN ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,282299601,1360,2011,Spring,VL1898NC,6,5916,4,North Central,,262,5,Darrell L. Clarke,3007-17 W DAUPHIN ST,19132,1320.14147949219,193.107974594222
2607,5414002807,2807 N MARVINE ST,SMITH JOHN C,SMITH SARAH,SR,VAC LAND RES < ACRE,372238700,1183,2012,Fall,VL2170EN,3,3440,1,Eastern North,,251,5,Darrell L. Clarke,2805-2809 N MARVINE STREET,19133,1183.91223144531,184.4287980311
2608,5010002248,2248 N LEITHGOW ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,191241401,480,2016,Fall,VL0123EN_R,39,29240,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2204-2232, 2240-2260 N LEITHGOW ST; 2209-2217, 2233-2237 N LAWRENCE ST; 412-422 W DAUPHIN ST",19133,470.057861328125,101.275406890947
2609,8791002614,2614 N 06TH ST,IMPROVEMENT CO,DORADO NEIGHBORHOOD,SR,VAC LAND RES < ACRE,371038200,1046,2008,Fall,VL1563EN,5,4716,4,Eastern North,,264,5,Darrell L. Clarke,2608-2616 N 6TH STREET,19133,1037.47662353516,162.916915179008
2610,8797002304,2304-08 N 09TH ST,SIGISMONDI JOSEPH, ,SI,VAC LAND IND < ACRE,884347680,4959,2015,Fall,VL3163EN_CLP,8,10890,0,CHOICE NEIGHBORHOOD,,264,5,Darrell L. Clarke,"2304-08 N 09TH ST; 901-13 W DAUPHIN ST",19133,4959.78771972656,311.361555837978
2611,8785002331,2331 N 03RD ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,191173001,866,2005,Spring,VL0285EN,30,16020,0,Eastern North,,279,7,Maria Quinones-Sanchez,"2328-2362 N BODINE STREET; 2327-2349 N 3RD STREET",19133,893.579345703125,149.35550270083
2612,6828003003,3003 RIDGE AVE,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,323046901,1005,2009,Spring,VL1645NC,11,2784,0,North Central,,262,5,Darrell L. Clarke,"2112 N 30TH STREET; 2945-2947 W DIAMOND STREET",19121,1019.66473388672,164.007631223066
2613,7462001004,1004 W STELLA ST,OTERO RAPHAEL, ,SR,VAC LAND RES < ACRE,372406500,627,2011,Spring,VL1937EN,5,3825,5,Eastern North,,251,5,Darrell L. Clarke,"2930; 2936 GERMANTOWN AVENUE; 1001 W ORLEANS STREET; 
1002-1004 STELLA STREET",19133,627.065307617188,118.193506709307
2614,8785002349,2349 N 03RD ST,EARL MC BRIDE, ,SR,VAC LAND RES < ACRE,191173900,792,2005,Spring,VL0285EN,30,16020,0,Eastern North,,279,7,Maria Quinones-Sanchez,"2328-2362 N BODINE STREET; 2327-2349 N 3RD STREET",19133,792.672241210938,146.463611636627
2615,5010002334,2334 N LEITHGOW ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,191244401,608,2016,Fall,VL3446EN_CLP,8,5060,3,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2327-2333 N LARENCE ST; 2332-2338 N LEITHGOW ST",19133,608.218505859375,116.610932481763
2616,6166002304,2304 N ORKNEY ST,JOYCE E STANFORD, ,SR,VAC LAND RES < ACRE,191288400,558,2011,Spring,VL1947EN,11,9246,3,Eastern North,,279,7,Maria Quinones-Sanchez,"439-445 W DAUPHIN STREET; 2302-2314 N ORKNEY STREET",19133,558.951721191406,114.448432843049
2617,2752001229,1229 W DAUPHIN ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371338101,1167,2016,Spring,VL3240EN_CLP,4,4452,0,EASTERN NORTH - CHOICE,,264,5,Darrell L. Clarke,"1227-31 W DAUPHIN ST, 2310 CAMAC ST",19133,1167.31512451172,173.158775419302
2618,4408001226,1226 W HUNTINGDON ST,HORACE CARTER,WILLIE BELL,SR,VAC LAND RES < ACRE,371419600,922,2013,Spring,VL2306EN,3,3036,1,Eastern North,,264,5,Darrell L. Clarke,1226-1230 W HUNTINGDON STREET,19133,910.152160644531,149.785057825699
2619,2752000439,439 W DAUPHIN ST,JOYCE E STANFORD, ,RA,VAC LAND COMM. < ACRE,191423100,571,2011,Spring,VL1947EN,11,9246,3,Eastern North,,279,7,Maria Quinones-Sanchez,"439-445 W DAUPHIN STREET; 2302-2314 N ORKNEY STREET",19133,571.036743164063,149.203894979332
2620,3666002948,2948 GERMANTOWN AVE,CLYDE MC RAE,CAROLYN,SR,VAC LAND COMM. < ACRE,372205300,1139,2007,Fall,VL1281EN,3,10297,0,Eastern North,,251,5,Darrell L. Clarke,"2944-2948 GERMANTOWN AVENUE; 
1001-1011 W STELLA STREET",19133,1139.931640625,183.139993292392
2621,3666002845,2845 GERMANTOWN AVE,LIFE & TIME OF JESUS, ,SR,VAC LAND RES < ACRE,777169000,2295,2011,Spring,VL1938EN,4,6095,1,Eastern North,,251,5,Darrell L. Clarke,2843-2847 GERMANTOWN AVENUE,19133,2324.12017822266,288.732941793319
2622,8832002337,2337 N 27TH ST,HERMAN L WILSON,AMANDA,SR,VAC LAND RES < ACRE,281060600,990,2011,Spring,VL1913NC,9,11140,6,North Central,,262,5,Darrell L. Clarke,"2337-2347 N 27TH STREET; 2645-2647 W ARIZONA STREET; 
2638-2646 W YORK STREET",19132,943.018432617188,148.941152955719
2623,8793002427,2427 N 07TH ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,371060701,1280,2009,Spring,VL1662EN,12,19235,0,Eastern North,,264,5,Darrell L. Clarke,"2409-2427 N 7TH STREET; 629-631 W YORK STREET",19133,1285.572265625,192.145336503692
2624,8576003005,3005 W YORK ST,TRAN JERRY, ,SR,VAC LAND RES < ACRE,282345400,960,2008,Spring,VL1371NC,4,1088,2,North Central,,262,5,Darrell L. Clarke,3001-3007 W YORK STREET,19132,955.268798828125,158.077838257879
2625,3666002946,2946 GERMANTOWN AVE,DAVID J ANTHONY,HELEN,SR,VAC LAND COMM. < ACRE,372205200,1246,2007,Fall,VL1281EN,3,10297,0,Eastern North,,251,5,Darrell L. Clarke,"2944-2948 GERMANTOWN AVENUE; 
1001-1011 W STELLA STREET",19133,1246.85406494141,193.305436867113
2626,2636000735,735 W CUMBERLAND ST,LEROY CULP,OMETHIA V,SR,VAC LAND RES < ACRE,371384300,1179,2009,Spring,VL1661EN,1,1136,0,Eastern North,,264,5,Darrell L. Clarke,735 W CUMBERLAND STREET,19133,1179.25396728516,173.910883914692
2627,8576003200,3200 W YORK ST,CITY OF PHILA,DEPT OF PUBLC PROP,SR,VAC LAND RES < ACRE,282343101,774,2008,Spring,VL1627NC,1,2592,0,North Central,,262,5,Darrell L. Clarke,3200-3206 W YORK STREET,19132,744.250854492188,132.338503794087
2628,5010002246,2246 N LEITHGOW ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,191241301,480,2016,Fall,VL0123EN_R,39,29240,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2204-2232, 2240-2260 N LEITHGOW ST; 2209-2217, 2233-2237 N LAWRENCE ST; 412-422 W DAUPHIN ST",19133,459.42041015625,100.847988616979
2629,8576002721,2721 W YORK ST,EMANUEL M MOORE,VIRGINIA,SR,VAC LAND RES < ACRE,281253900,875,2011,Spring,VL1914NC,13,10008,4,North Central,,262,5,Darrell L. Clarke,2701-2725 W YORK STREET,19132,909.842590332031,172.588159895165
2630,8803002938,2938 N 12TH ST,BATTS TANJUA,BATTS THERESA,SR,VAC LAND RES < ACRE,372260600,1352,2012,Fall,VL2155EN,2,2610,0,Eastern North,,251,5,Darrell L. Clarke,2936-2938 N 12TH STREET,19133,1344.37255859375,201.386631500882
2631,8576003001,3001 W YORK ST,JORDAN HERBERT E, ,SR,VAC LAND RES < ACRE,282345200,992,2008,Spring,VL1371NC,4,1088,2,North Central,,262,5,Darrell L. Clarke,3001-3007 W YORK STREET,19132,977.079528808594,158.325355569262
2632,2636000627,627 W CUMBERLAND ST,PALMER PEDRO,DISLA FRANCIS HENRIQUEZ,SR,VAC LAND RES < ACRE,371381501,826,2011,Spring,VL1945EN,2,2074,1,Eastern North,,264,5,Darrell L. Clarke,625-627 W CUMBERLAND STREET,19133,842.515075683594,143.610457820038
2633,4966002331,2331 N LAWRENCE ST,FIORAVANTI ENTERPRISES,INC,SR,VAC LAND RES < ACRE,191256900,620,2016,Fall,VL3446EN_CLP,8,5060,3,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2327-2333 N LARENCE ST; 2332-2338 N LEITHGOW ST",19133,620.685363769531,119.674897699002
2634,8799002419,2419 N 10TH ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,371160101,1178,2003,Spring,VL0106NC,6,5819,0,Eastern North,,264,5,Darrell L. Clarke,"2419-21 N 10TH STREET; 2420-30 DELHI STREET",19133,1134.26031494141,159.649298214454
2635,5010002312,2312 N LEITHGOW ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,VAC LAND RES < ACRE,191243301,577,2016,Fall,VL0489EN_R,12,7178,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2301-2307 N LAWRENCE  ST; 2306-2312 N LEITHGOW ST; 417-423 W DAUPHIN ST",19133,592.513916015625,117.000939053322
2636,3666002424,2424 GERMANTOWN AVE,WULFHART MANAGEMENT GROUP, ,SC,VAC LAND COMM. < ACRE,371012600,2669,2011,Spring,VL1953EN,1,2906,2,Eastern North,,264,5,Darrell L. Clarke,2424 GERMANTOWN AVENUE,19133,2669.17932128906,238.893857466544
2637,6166002223,2223 N ORKNEY ST,HARRY F DALE,ELIZABETH,SR,VAC LAND RES < ACRE,191274100,461,2016,Fall,VL3445EN_CLP,8,4840,4,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2216-22 N LAWRENCE ST; 2219-25 N ORKNEY ST",19133,453.888916015625,99.6150796675581
2638,8844002029,2029-31 N 33RD ST,REDEVELOPMENT AUTHORITY,OF PHILA,SR,VAC LAND RES < ACRE,323344710,3005,2011,Spring,VL1840NC,2,2848,3,North Central,,262,5,Darrell L. Clarke,2029-2031 N 33RD STREET,19121,2970.55755615234,247.593017440023
2639,8576000712,712 W YORK ST,PHILADELPHIA LAND BANK, ,SR,VAC LAND RES < ACRE,371356101,1489,2011,Spring,VL1949EN,1,1260,0,Eastern North,,264,5,Darrell L. Clarke,712 W YORK STREET,19133,1489.30352783203,205.720824410509
2640,3324002358,2358 N FAIRHILL ST,CLARENCE FOULK, ,SR,VAC LAND RES < ACRE,191364600,477,2011,Spring,VL1948EN,6,3410,3,Eastern North,,264,7,Maria Quinones-Sanchez,"538 W YORK STREET; 2356-2364 N FAIRHILL STREET",19133,487.571716308594,104.294851800652
2641,8144002614,2614 N WARNOCK ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,VAC LAND RES < ACRE,371182401,874,2003,Spring,VL0100NC,2,2030,0,Eastern North,,264,5,Darrell L. Clarke,2614-2616 N WARNOCK STREET,19133,889.858703613281,147.905704940349
2642,1318001005,1005 W ARIZONA ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,371351700,720,2016,Spring,VL3673NC_CLP,1,6900,0,NIH_EN,,264,5,Darrell L. Clarke,1001-1019 W ARIZONA ST,19133,718.410339355469,138.397434436588
2643,8785002216,2216 N 03RD ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,191181101,787,2004,Spring,VL0484EN,4,9607,0,Eastern North,,279,7,Maria Quinones-Sanchez,"2208-2222 N 3RD STREET; 2207-2213 N ORIANNA STREET;
301, 307-311 W SUSQUEHANNA *",19133,787.507385253906,141.285974441739
2644,2752000418,418 W DAUPHIN ST,HARTRANFT HOUSING CORP, ,SR,VAC LAND RES < ACRE,191412401,700,2016,Fall,VL0123EN_R,39,29240,2,EASTERN NORTH 2,,279,7,Maria Quinones-Sanchez,"2204-2232, 2240-2260 N LEITHGOW ST; 2209-2217, 2233-2237 N LAWRENCE ST; 412-422 W DAUPHIN ST",19133,703.683349609375,128.820183174127
2645,8576003007,3007 W YORK ST,CAMPBELL ARTHUR,ADA N,SR,VAC LAND RES < ACRE,282345500,960,2008,Spring,VL1371NC,4,1088,2,North Central,,262,5,Darrell L. Clarke,3001-3007 W YORK STREET,19132,955.795227050781,157.973350776779
2646,1404000920,920 W AUBURN ST,CITY OF PHILADELPHIA, ,SR,VAC LAND RES < ACRE,372361901,585,2013,Spring,VL2308EN,7,5796,4,Eastern North,,251,5,Darrell L. Clarke,912-924 W AUBURN STREET,19133,583.35595703125,116.40060295012
